latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_dataset
7.13631,81.13902,296.16,0.73,0.76,2026-08-30,1921,N,VIIRS,n,2.0NRT,280.67,1.72,N,VIIRS_SNPP_NRT
7.14013,81.1341,297.7,0.73,0.76,2026-08-30,1921,N,VIIRS,n,2.0NRT,283.35,3.59,N,VIIRS_SNPP_NRT
7.28379,81.16539,304.2,0.72,0.76,2026-08-30,1921,N,VIIRS,n,2.0NRT,288.27,1.34,N,VIIRS_SNPP_NRT
7.6078,81.15397,303.16,0.73,0.76,2026-08-30,1921,N,VIIRS,n,2.0NRT,288.01,0.82,N,VIIRS_SNPP_NRT
8.86712,81.02701,309.61,0.78,0.78,2026-08-30,1921,N,VIIRS,n,2.0NRT,287.51,1.75,N,VIIRS_SNPP_NRT
8.86843,81.02491,316.5,0.78,0.78,2026-08-30,1921,N,VIIRS,n,2.0NRT,287.9,2.71,N,VIIRS_SNPP_NRT
31.61482,74.37532,311.52,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.45,0.61,N,VIIRS_SNPP_NRT
31.64126,74.42704,308.12,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.23,0.49,N,VIIRS_SNPP_NRT
31.769,70.10805,312.33,0.55,0.43,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.54,4.57,N,VIIRS_SNPP_NRT
32.0868,74.16059,315.49,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.79,2.11,N,VIIRS_SNPP_NRT
32.08741,74.15643,308.49,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.49,0.65,N,VIIRS_SNPP_NRT
32.13232,74.17843,312.92,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.18,0.79,N,VIIRS_SNPP_NRT
32.57351,72.56357,309.26,0.44,0.38,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.88,4.1,N,VIIRS_SNPP_NRT
32.64409,72.9769,307.1,0.42,0.38,2026-08-30,2055,N,VIIRS,n,2.0NRT,293.7,1.59,N,VIIRS_SNPP_NRT
32.88999,71.6175,308.91,0.48,0.4,2026-08-30,2055,N,VIIRS,n,2.0NRT,293.74,3.33,N,VIIRS_SNPP_NRT
33.29611,71.18341,310.8,0.51,0.41,2026-08-30,2055,N,VIIRS,n,2.0NRT,293.05,0.8,N,VIIRS_SNPP_NRT
33.29622,71.18803,306.97,0.51,0.41,2026-08-30,2055,N,VIIRS,n,2.0NRT,293.04,1.09,N,VIIRS_SNPP_NRT
24.68952,73.00175,308.21,0.39,0.36,2026-08-30,2057,N,VIIRS,n,2.0NRT,292.27,1.08,N,VIIRS_SNPP_NRT
25.9433,72.19072,329.62,0.4,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,294.95,2.98,N,VIIRS_SNPP_NRT
25.94431,72.19051,325.37,0.4,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,295.03,2.14,N,VIIRS_SNPP_NRT
26.09499,68.87773,305.36,0.55,0.42,2026-08-30,2057,N,VIIRS,n,2.0NRT,295.07,0.92,N,VIIRS_SNPP_NRT
26.60605,73.68385,305.13,0.38,0.36,2026-08-30,2057,N,VIIRS,n,2.0NRT,292.92,0.71,N,VIIRS_SNPP_NRT
26.87274,73.51597,306.77,0.39,0.36,2026-08-30,2057,N,VIIRS,n,2.0NRT,293.13,1.35,N,VIIRS_SNPP_NRT
26.87605,73.51661,309.34,0.39,0.36,2026-08-30,2057,N,VIIRS,n,2.0NRT,293.23,1.26,N,VIIRS_SNPP_NRT
26.87664,73.51275,304.99,0.39,0.36,2026-08-30,2057,N,VIIRS,n,2.0NRT,292.77,1.39,N,VIIRS_SNPP_NRT
27.66868,76.13271,296.11,0.41,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,276.77,0.32,N,VIIRS_SNPP_NRT
27.66938,76.12862,299.11,0.41,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,279.78,0.32,N,VIIRS_SNPP_NRT
28.35198,70.13081,307.1,0.5,0.41,2026-08-30,2057,N,VIIRS,n,2.0NRT,296.83,0.75,N,VIIRS_SNPP_NRT
28.42588,69.698,310.32,0.53,0.42,2026-08-30,2057,N,VIIRS,n,2.0NRT,297.18,1.83,N,VIIRS_SNPP_NRT
28.74306,76.92912,316.04,0.42,0.38,2026-08-30,2057,N,VIIRS,n,2.0NRT,291.02,1.91,N,VIIRS_SNPP_NRT
29.45914,76.89161,316.03,0.41,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,292.1,3.18,N,VIIRS_SNPP_NRT
29.4759,76.85623,311.77,0.41,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,289.97,2.28,N,VIIRS_SNPP_NRT
18.54634,74.25378,311.92,0.42,0.38,2026-08-30,2059,N,VIIRS,n,2.0NRT,289.64,1.13,N,VIIRS_SNPP_NRT
18.68969,73.04101,304.97,0.39,0.36,2026-08-30,2059,N,VIIRS,n,2.0NRT,291.93,1.57,N,VIIRS_SNPP_NRT
18.69302,73.0416,319.89,0.39,0.36,2026-08-30,2059,N,VIIRS,n,2.0NRT,293.8,3.62,N,VIIRS_SNPP_NRT
