latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,source_dataset,frp,bright_ti4,confidence_val,is_night,firms_type,is_offshore,is_viiirs,is_modis,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_volcano_10km,has_industrial_2km,count_ind_5km,count_ref_5km,cluster_id,final_class,classification,reason,nearest_site_type
7.10918,81.68468,0.41,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,305.92,D,VIIRS_SNPP_NRT,4.05,335.1,0,0,-1,0,1,0,691.3348412755195,665.389753985311,650.4070859575179,2404.1826673429846,1120.7667666414625,638.741830034015,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.13256,81.41004,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,297.2,D,VIIRS_SNPP_NRT,2.12,330.14,1,0,-1,0,1,0,682.6963237996293,654.9457860274468,640.0960939147119,2394.6660942971857,1118.5413279058653,628.9180141984903,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.21619,81.59032,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.07,D,VIIRS_SNPP_NRT,5.44,337.99,1,0,-1,0,1,0,677.4675111971,651.0692943737055,636.1154310837948,2390.1739800523474,1108.90712289239,624.5652267516763,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.27317,81.1773,0.57,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.55,D,VIIRS_SNPP_NRT,2.91,330.44,0,0,-1,0,1,0,663.0557768228604,633.925585428029,619.1981760786998,2373.736184315378,1103.8628351704342,608.4149068077456,999,0,0,0,0,0,0,0,6,unclassified,unclassified,No rule matched,industrial_zone
7.27678,81.14547,0.57,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,305.53,D,VIIRS_SNPP_NRT,4.38,337.26,1,0,-1,0,1,0,662.1486417818538,632.8069422260274,618.1004602459484,2372.5833886901714,1103.6369270506018,607.3804951412345,999,0,0,0,0,0,0,0,6,unclassified,unclassified,No rule matched,industrial_zone
7.27753,81.15067,0.57,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.06,D,VIIRS_SNPP_NRT,4.38,337.79,1,0,-1,0,1,0,662.14822484487,632.8426910779552,618.132567143928,2372.625980912824,1103.524306647385,607.4016908456077,999,0,0,0,0,0,0,0,6,unclassified,unclassified,No rule matched,industrial_zone
7.27994,81.59621,0.4,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.6,D,VIIRS_SNPP_NRT,5.24,340.82,1,0,-1,0,1,0,670.678324962785,644.4314581912271,629.4662857880292,2383.4333237004093,1101.8134389760478,617.8736835549335,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.29368,81.80795,0.42,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.12,D,VIIRS_SNPP_NRT,2.34,332.54,0,0,-1,0,1,0,674.569811702337,649.8158095208105,634.7603437916929,2387.5157383643827,1100.343098706098,622.7861811215544,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.31546,81.10326,0.57,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,304.81,D,VIIRS_SNPP_NRT,6.49,334.42,0,0,-1,0,1,0,657.2389911104524,627.6564150307446,612.9736871061989,2367.3803453919054,1099.5912971555229,602.3254051727073,999,0,0,0,0,0,0,0,7,unclassified,unclassified,No rule matched,industrial_zone
7.31621,81.10839,0.57,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,305.81,D,VIIRS_SNPP_NRT,9.05,336.91,1,0,-1,0,1,0,657.234051197695,627.6872903115035,613.0008566007625,2367.420479619059,1099.4766671858436,602.3416521547018,999,0,0,0,0,0,0,0,7,unclassified,unclassified,No rule matched,industrial_zone
7.31681,81.76224,0.41,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,299.4,D,VIIRS_SNPP_NRT,5.41,344.78,1,0,-1,0,1,0,670.8471185982064,645.8216866720913,630.7807324534074,2383.801102405217,1097.7182428077724,618.8731186600281,999,0,0,0,0,0,0,0,8,unclassified,unclassified,No rule matched,industrial_zone
7.32021,81.10786,0.57,0.43,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.09,D,VIIRS_SNPP_NRT,2.2,336.09,1,0,-1,0,1,0,656.7854594563655,627.2397897237261,612.5531616585263,2366.973534273842,1099.0357940172362,601.8934934161489,999,0,0,0,0,0,0,0,7,unclassified,unclassified,No rule matched,industrial_zone
7.32289,81.80387,0.42,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.84,D,VIIRS_SNPP_NRT,2.59,340.57,1,0,-1,0,1,0,671.3112618495018,646.5883101280219,631.5308228849489,2384.2556140941942,1097.0897028085456,619.547823997408,999,0,0,0,0,0,0,0,9,unclassified,unclassified,No rule matched,industrial_zone
7.3236,81.80315,0.42,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.42,D,VIIRS_SNPP_NRT,2.14,331.97,0,0,-1,0,1,0,671.215138315105,646.4886143311817,631.431307438267,2384.159753381216,1097.0097807934942,619.4491617021449,999,0,0,0,0,0,0,0,9,unclassified,unclassified,No rule matched,industrial_zone
