input_index,latitude,longitude,frp,bright_ti4,acq_date,dist_industry_km,dist_forest_km,dist_agriculture_km,dist_oil_gas_km,dist_refinery_km,dist_mining_km,dist_powerplant_km,final_label,hybrid_confidence,raw_ml_confidence,confidence_level,decision_source,agreement,conflict,requires_human_review,review_reason,rule_prediction,rule_active_votes,ml_prediction,ml_top_probability,risk_score,explanation_bullets,n_explanation_bullets,classification_status,decision_confidence,ml_probability,rule_consensus,rule_vote_strength
37,7.33017,81.13794,2.69,330.77,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9996,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9996,0.0,"[""Low-intensity thermal source (FRP: 2.7 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9996,unclassified,0.0
38,7.33055,81.24025,5.25,337.45,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Moderate thermal signature (FRP: 5.2 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
39,7.33164,81.2386,7.56,367.0,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Moderate thermal signature (FRP: 7.6 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
40,7.33388,80.93858,6.69,337.02,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Moderate thermal signature (FRP: 6.7 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
41,7.33598,81.23946,6.2,345.38,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Moderate thermal signature (FRP: 6.2 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
42,7.33735,81.20861,4.7,333.25,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 4.7 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
43,7.34089,81.19734,4.46,344.8,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 4.5 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
44,7.34386,81.72089,2.01,335.09,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 2.0 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
45,7.35963,81.1146,2.52,331.95,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9996,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9996,0.0,"[""Low-intensity thermal source (FRP: 2.5 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9996,unclassified,0.0
46,7.37055,81.71949,3.16,342.46,2026-09-02,,999.0,999.0,999.0,999.0,999.0,999.0,unclassified,0.0,0.9997,low,uncertain,False,False,True,Both rule engine and ML model have insufficient evidence.,unclassified,0,unclassified,0.9997,0.0,"[""Low-intensity thermal source (FRP: 3.2 MW)."", ""All 14 labeling functions abstained due to lack of spatial context."", ""XGBoost also abstained: its most probable class was 'unclassified' (100.0%), meaning no specific class met the evidence threshold."", ""Decision [uncertain]: classified as unknown requiring ground review.""]",4,uncertain,0.0,0.9997,unclassified,0.0
