cluster_id,centroid_lat,centroid_lon,detection_count,days_active,persistence_ratio,daily_detection_rate,frp_mean,frp_median,frp_max,frp_min,frp_std,frp_sum,bright_ti4_mean,bright_ti4_max,bright_ti4_std,night_fraction,high_conf_fraction,lat_range,lon_range,spatial_extent_km,nearest_site_type,nearest_site_type_encoded,dist_to_nearest_industrial_km,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_industrial_within_2km,has_refinery_within_5km,has_powerplant_within_5km,has_volcano_within_10km,num_industrial_sites_within_5km,is_offshore,firms_type,firms_type_mode,classification,rule_confidence,rule_reason,ml_class,ml_confidence,final_class,confidence
-1158,7.96847,80.62367,1,1,0.3333333333333333,1.0,2.45,2.45,2.45,2.45,0.0,2.45,334.81,334.81,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,523.1098529347415,579.6001828156338,547.2458517434387,532.8794408392336,2285.361736036313,1031.5522507411838,523.1098529347415,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1159,7.99786,80.37258,1,1,0.3333333333333333,1.0,6.58,6.58,6.58,6.58,0.0,6.58,332.12,332.12,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,517.7967611440652,575.1722627417043,541.0043194559817,526.9114628205185,2276.7368394137548,1031.6790164499844,517.7967611440652,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1160,7.9984,80.37608,1,1,0.3333333333333333,1.0,6.58,6.58,6.58,6.58,0.0,6.58,349.28,349.28,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,517.7555739027152,575.1195181123272,540.9768844915911,526.8798309517326,2276.7514938797144,1031.5676100548214,517.7555739027152,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1161,8.01197,81.41592,1,1,0.3333333333333333,1.0,4.35,4.35,4.35,4.35,0.0,4.35,340.12,340.12,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,534.1040078000105,586.9173326361005,560.7241129922362,545.7427784023681,2299.6457879272566,1020.7722495352483,534.1040078000105,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1162,8.03437,80.19405,1,1,0.3333333333333333,1.0,6.16,6.16,6.16,6.16,0.0,6.16,338.36,338.36,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,513.1540242890452,571.0784303723395,534.1029918642614,521.7782418666694,2269.06777155468,1030.495981229683,513.1540242890452,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1163,8.08878,80.19277,1,1,0.3333333333333333,1.0,5.01,5.01,5.01,5.01,0.0,5.01,344.37,344.37,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,507.1027275424006,565.0311970839489,528.1024525891208,515.7270494561108,2263.094864362113,1024.5397424623966,507.1027275424006,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.996,unclassified,0.3
-1164,8.14198,79.99303,1,1,0.3333333333333333,1.0,3.1,3.1,3.1,3.1,0.0,3.1,337.81,337.81,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,501.4211717075948,559.8877910577314,519.2907875546998,509.45974802942294,2253.3181082710416,1022.3354861768776,501.4211717075948,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.999,unclassified,0.3
-1165,8.2525,80.51107,1,1,0.3333333333333333,1.0,2.72,2.72,2.72,2.72,0.0,2.72,330.03,330.03,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,490.52999131482073,547.3695324040934,514.3611909095519,500.07872115333834,2251.937421442249,1001.628138400658,490.52999131482073,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1166,8.26829,80.17477,1,1,0.3333333333333333,1.0,2.7,2.7,2.7,2.7,0.0,2.7,333.76,333.76,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,487.12489169268736,545.1086444572721,508.0756640281667,495.708308527998,2243.111283715735,1005.1373802246064,487.12489169268736,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1167,8.28108,80.16919,1,1,0.3333333333333333,1.0,3.83,3.83,3.83,3.83,0.0,3.83,341.22,341.22,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,485.6986245066485,543.6992264544401,506.57532487506745,494.26606693174995,2241.600145794085,1003.831572514566,485.6986245066485,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1168,8.29091,80.21081,1,1,0.3333333333333333,1.0,5.81,5.81,5.81,5.81,0.0,5.81,346.43,346.43,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,484.6549054188183,542.5295749772927,506.2271509011299,493.34808520929437,2241.376158120069,1002.028206689707,484.6549054188183,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1169,8.30774,80.12835,1,1,0.3333333333333333,1.0,2.95,2.95,2.95,2.95,0.0,2.95,332.31,332.31,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,482.7273324760197,540.8482052468895,502.96537859224594,491.1723476901187,2237.8597830749345,1001.6368623121798,482.7273324760197,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1170,8.35775,80.80066,1,1,0.3333333333333333,1.0,8.27,8.27,8.27,8.27,0.0,8.27,337.97,337.97,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,482.5655432047108,538.1357375540454,507.5352647478746,492.93604800334805,2247.0381136000865,986.5065669108088,482.5655432047108,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
